Mode,Theme,Avg_FPS,Avg_Sim_ms,P1_Low_Sim_ms
Heavy-Abusive (Worst Case),Abstract Cubes,14,59.79,87.01
Heavy-Abusive (Worst Case),Abstract Cubes,16,59.79,86.10
Heavy-Abusive (Worst Case),Abstract Cubes,14,59.79,90.80
Heavy-Abusive (Worst Case),Abstract Cubes,15,81.92,127.44
Heavy-Abusive (Worst Case),Abstract Cubes,14,72.21,108.95
Heavy-Abusive (Worst Case),Abstract Cubes,16,80.01,111.74
Heavy-Abusive (Worst Case),Abstract Cubes,16,59.79,94.20
Heavy-Abusive (Worst Case),Abstract Cubes,15,59.79,92.00
Heavy-Abusive (Worst Case),Abstract Cubes,16,73.17,101.66
Heavy-Abusive (Worst Case),Abstract Cubes,16,73.13,103.43
Heavy-Abusive (Worst Case),Abstract Cubes,14,59.79,89.90
Heavy-Abusive (Worst Case),Abstract Cubes,14,68.98,108.15
Heavy-Abusive (Worst Case),Abstract Cubes,14,82.43,108.82
Heavy-Abusive (Worst Case),Abstract Cubes,16,77.64,100.30
Heavy-Abusive (Worst Case),Abstract Cubes,16,83.81,114.31
Heavy-Abusive (Worst Case),Abstract Cubes,16,88.58,102.40
Heavy-Abusive (Worst Case),Abstract Cubes,15,82.04,111.29
Heavy-Abusive (Worst Case),Abstract Cubes,14,73.87,111.49
Heavy-Abusive (Worst Case),Abstract Cubes,15,61.91,86.79
Heavy-Abusive (Worst Case),Abstract Cubes,14,59.79,84.30
Heavy-Abusive (Worst Case),Abstract Cubes,16,66.78,95.42
Heavy-Abusive (Worst Case),Abstract Cubes,14,59.79,96.50
Heavy-Abusive (Worst Case),Abstract Cubes,16,71.16,103.46
Heavy-Abusive (Worst Case),Abstract Cubes,14,63.36,89.74
Heavy-Abusive (Worst Case),Abstract Cubes,15,91.47,117.93
Heavy-Abusive (Worst Case),Abstract Cubes,15,93.98,140.91
Heavy-Abusive (Worst Case),Abstract Cubes,14,82.19,106.95
Heavy-Abusive (Worst Case),Abstract Cubes,14,59.79,109.61
Heavy-Abusive (Worst Case),Abstract Cubes,14,67.31,112.02
Heavy-Abusive (Worst Case),Abstract Cubes,15,60.19,90.31
Heavy-Abusive (Worst Case),Abstract Cubes,16,59.79,87.80
Heavy-Abusive (Worst Case),Abstract Cubes,14,60.43,95.38
Heavy-Abusive (Worst Case),Abstract Cubes,14,79.10,98.50
Heavy-Abusive (Worst Case),Abstract Cubes,15,59.79,83.29
Heavy-Abusive (Worst Case),Abstract Cubes,15,62.53,92.57
Heavy-Abusive (Worst Case),Abstract Cubes,15,76.91,99.87
Heavy-Abusive (Worst Case),Abstract Cubes,14,59.79,92.38
Heavy-Abusive (Worst Case),Abstract Cubes,16,61.19,73.23
Heavy-Abusive (Worst Case),Abstract Cubes,15,64.56,86.61
Heavy-Abusive (Worst Case),Abstract Cubes,14,72.63,106.93
Heavy-Abusive (Worst Case),Abstract Cubes,14,59.79,91.63
Heavy-Abusive (Worst Case),Abstract Cubes,14,66.32,105.63
Heavy-Abusive (Worst Case),Abstract Cubes,16,71.48,109.47
Heavy-Abusive (Worst Case),Abstract Cubes,16,66.60,108.36
Heavy-Abusive (Worst Case),Abstract Cubes,14,59.79,94.86
Heavy-Abusive (Worst Case),Abstract Cubes,16,83.33,120.28
Heavy-Abusive (Worst Case),Abstract Cubes,16,59.79,93.44
Heavy-Abusive (Worst Case),Abstract Cubes,15,60.53,97.09
Heavy-Abusive (Worst Case),Abstract Cubes,15,59.79,104.42
Heavy-Abusive (Worst Case),Abstract Cubes,14,66.44,84.95
Heavy-Abusive (Worst Case),Abstract Cubes,15,67.40,98.53
Heavy-Abusive (Worst Case),Abstract Cubes,16,90.29,125.00
Heavy-Abusive (Worst Case),Abstract Cubes,15,65.16,95.40
Heavy-Abusive (Worst Case),Abstract Cubes,16,73.50,99.08
Heavy-Abusive (Worst Case),Abstract Cubes,16,59.79,80.99
Heavy-Abusive (Worst Case),Abstract Cubes,16,60.44,101.26
Heavy-Abusive (Worst Case),Abstract Cubes,15,59.79,78.68
Heavy-Abusive (Worst Case),Abstract Cubes,14,77.81,106.63
Heavy-Abusive (Worst Case),Abstract Cubes,15,68.25,109.09
Heavy-Abusive (Worst Case),Abstract Cubes,14,65.54,93.92
Heavy-Abusive (Worst Case),Abstract Cubes,16,71.31,99.18
Heavy-Abusive (Worst Case),Abstract Cubes,14,79.71,102.85
Heavy-Abusive (Worst Case),Abstract Cubes,16,66.30,108.17
Heavy-Abusive (Worst Case),Abstract Cubes,16,72.08,110.70
Heavy-Abusive (Worst Case),Abstract Cubes,14,59.79,95.54
Heavy-Abusive (Worst Case),Abstract Cubes,14,59.79,91.03
Heavy-Abusive (Worst Case),Abstract Cubes,16,59.79,84.64
Heavy-Abusive (Worst Case),Abstract Cubes,15,70.12,97.70
Heavy-Abusive (Worst Case),Abstract Cubes,14,88.35,116.86
Heavy-Abusive (Worst Case),Abstract Cubes,14,72.96,102.69
Heavy-Abusive (Worst Case),Abstract Cubes,14,59.79,89.77
Heavy-Abusive (Worst Case),Abstract Cubes,15,69.38,103.79
Heavy-Abusive (Worst Case),Abstract Cubes,14,66.90,98.91
Heavy-Abusive (Worst Case),Abstract Cubes,15,72.10,102.18
Heavy-Abusive (Worst Case),Abstract Cubes,16,68.70,108.46
Heavy-Abusive (Worst Case),Abstract Cubes,14,72.58,99.56
Heavy-Abusive (Worst Case),Abstract Cubes,14,66.82,99.49
Heavy-Abusive (Worst Case),Abstract Cubes,15,59.79,89.74
Heavy-Abusive (Worst Case),Abstract Cubes,16,63.98,96.32
Heavy-Abusive (Worst Case),Abstract Cubes,14,72.85,111.71
Heavy-Abusive (Worst Case),Abstract Cubes,16,67.87,99.71
Heavy-Abusive (Worst Case),Abstract Cubes,14,59.79,110.59
Heavy-Abusive (Worst Case),Abstract Cubes,16,81.93,114.91
Heavy-Abusive (Worst Case),Abstract Cubes,16,101.07,127.55
Heavy-Abusive (Worst Case),Abstract Cubes,16,66.50,93.62
Heavy-Abusive (Worst Case),Abstract Cubes,14,59.79,94.91
Heavy-Abusive (Worst Case),Abstract Cubes,15,67.12,100.25
Heavy-Abusive (Worst Case),Abstract Cubes,15,73.59,112.54
Heavy-Abusive (Worst Case),Abstract Cubes,14,59.79,100.97
Heavy-Abusive (Worst Case),Abstract Cubes,14,72.60,101.14
Heavy-Abusive (Worst Case),Abstract Cubes,14,59.79,93.20
Heavy-Abusive (Worst Case),Abstract Cubes,16,59.79,98.35
Heavy-Abusive (Worst Case),Abstract Cubes,15,65.32,95.78
Heavy-Abusive (Worst Case),Abstract Cubes,15,59.79,99.81
Heavy-Abusive (Worst Case),Abstract Cubes,15,59.79,86.57
Heavy-Abusive (Worst Case),Abstract Cubes,16,59.79,93.93
Heavy-Abusive (Worst Case),Abstract Cubes,15,59.79,92.75
Heavy-Abusive (Worst Case),Abstract Cubes,15,75.86,106.80
Heavy-Abusive (Worst Case),Abstract Cubes,15,77.29,117.82
Heavy-Abusive (Worst Case),Abstract Cubes,16,108.64,125.56
Heavy-Abusive (Worst Case),Abstract Cubes,16,66.24,90.59
Heavy-Abusive (Worst Case),Abstract Cubes,16,87.58,127.25
Heavy-Abusive (Worst Case),Abstract Cubes,15,61.65,105.80
Heavy-Abusive (Worst Case),Abstract Cubes,15,59.79,88.25
Heavy-Abusive (Worst Case),Abstract Cubes,14,67.04,114.05
Heavy-Abusive (Worst Case),Abstract Cubes,15,59.79,76.17
Heavy-Abusive (Worst Case),Abstract Cubes,16,72.63,108.63
Heavy-Abusive (Worst Case),Abstract Cubes,16,93.17,112.05
Heavy-Abusive (Worst Case),Abstract Cubes,15,70.24,94.66
Heavy-Abusive (Worst Case),Abstract Cubes,15,88.33,107.11
Heavy-Abusive (Worst Case),Abstract Cubes,14,71.67,113.33
Heavy-Abusive (Worst Case),Abstract Cubes,14,68.57,109.29
Heavy-Abusive (Worst Case),Abstract Cubes,14,70.40,94.89
Heavy-Abusive (Worst Case),Abstract Cubes,15,59.79,85.81
Heavy-Abusive (Worst Case),Abstract Cubes,16,82.04,102.37
Heavy-Abusive (Worst Case),Abstract Cubes,14,59.79,98.11
Heavy-Abusive (Worst Case),Abstract Cubes,14,59.79,91.71
Heavy-Abusive (Worst Case),Abstract Cubes,16,59.79,83.89
Heavy-Abusive (Worst Case),Abstract Cubes,14,86.61,126.55
Heavy-Abusive (Worst Case),Abstract Cubes,14,78.36,116.93
Heavy-Abusive (Worst Case),Abstract Cubes,16,71.55,100.56
Heavy-Abusive (Worst Case),Abstract Cubes,16,88.81,118.16
Heavy-Abusive (Worst Case),Abstract Cubes,16,62.84,102.44
Heavy-Abusive (Worst Case),Abstract Cubes,14,80.22,104.06
Heavy-Abusive (Worst Case),Abstract Cubes,16,59.79,99.65
Heavy-Abusive (Worst Case),Abstract Cubes,16,70.88,102.87
Heavy-Abusive (Worst Case),Abstract Cubes,15,59.79,91.40
Heavy-Abusive (Worst Case),Abstract Cubes,16,76.20,112.99
Heavy-Abusive (Worst Case),Abstract Cubes,15,79.67,104.50
Heavy-Abusive (Worst Case),Abstract Cubes,14,59.79,104.67
Heavy-Abusive (Worst Case),Abstract Cubes,15,59.79,81.49
Heavy-Abusive (Worst Case),Abstract Cubes,15,74.28,99.68
Heavy-Abusive (Worst Case),Abstract Cubes,14,65.94,92.47
Heavy-Abusive (Worst Case),Abstract Cubes,16,59.79,89.28
Heavy-Abusive (Worst Case),Abstract Cubes,15,74.32,102.79
Heavy-Abusive (Worst Case),Abstract Cubes,16,60.68,98.25
Heavy-Abusive (Worst Case),Abstract Cubes,16,60.22,104.73
Heavy-Abusive (Worst Case),Abstract Cubes,16,62.26,82.93
Heavy-Abusive (Worst Case),Abstract Cubes,16,84.15,103.94
Heavy-Abusive (Worst Case),Abstract Cubes,16,72.54,100.40
Heavy-Abusive (Worst Case),Abstract Cubes,14,59.79,109.65
Heavy-Abusive (Worst Case),Abstract Cubes,14,69.99,109.79
Heavy-Abusive (Worst Case),Abstract Cubes,14,79.25,107.07
Heavy-Abusive (Worst Case),Abstract Cubes,16,59.79,88.47
Heavy-Abusive (Worst Case),Abstract Cubes,14,64.46,105.07
Heavy-Abusive (Worst Case),Abstract Cubes,16,92.80,118.38
Heavy-Abusive (Worst Case),Abstract Cubes,16,59.79,89.50
Heavy-Abusive (Worst Case),Abstract Cubes,15,82.68,101.16
Heavy-Abusive (Worst Case),Abstract Cubes,16,78.35,106.98
Heavy-Abusive (Worst Case),Abstract Cubes,14,59.79,83.52
Heavy-Abusive (Worst Case),Abstract Cubes,15,66.37,97.49
Heavy-Abusive (Worst Case),Abstract Cubes,16,59.79,99.39
Heavy-Abusive (Worst Case),Abstract Cubes,14,59.79,88.40
Heavy-Abusive (Worst Case),Abstract Cubes,16,60.11,90.03
Heavy-Abusive (Worst Case),Abstract Cubes,15,59.79,91.67
Heavy-Abusive (Worst Case),Abstract Cubes,16,59.79,94.62
Heavy-Abusive (Worst Case),Abstract Cubes,15,59.79,95.48
Heavy-Abusive (Worst Case),Abstract Cubes,16,59.79,111.90
Heavy-Abusive (Worst Case),Abstract Cubes,15,61.13,88.88
Heavy-Abusive (Worst Case),Abstract Cubes,14,59.79,103.57
Heavy-Abusive (Worst Case),Abstract Cubes,16,59.79,97.94
Heavy-Abusive (Worst Case),Abstract Cubes,14,59.79,99.24
Heavy-Abusive (Worst Case),Abstract Cubes,15,62.91,93.36
Heavy-Abusive (Worst Case),Abstract Cubes,16,66.98,112.95
Heavy-Abusive (Worst Case),Abstract Cubes,15,69.26,96.63
Heavy-Abusive (Worst Case),Abstract Cubes,16,59.79,94.36
Heavy-Abusive (Worst Case),Abstract Cubes,16,79.12,100.42
Heavy-Abusive (Worst Case),Abstract Cubes,16,59.79,94.93
Heavy-Abusive (Worst Case),Abstract Cubes,16,65.42,103.20
Heavy-Abusive (Worst Case),Abstract Cubes,15,59.79,94.95
Heavy-Abusive (Worst Case),Abstract Cubes,14,64.78,93.31
Heavy-Abusive (Worst Case),Abstract Cubes,15,59.79,92.80
Heavy-Abusive (Worst Case),Abstract Cubes,14,59.79,96.86
Heavy-Abusive (Worst Case),Abstract Cubes,14,70.65,104.84
Heavy-Abusive (Worst Case),Abstract Cubes,14,69.13,91.87
Heavy-Abusive (Worst Case),Abstract Cubes,16,77.48,106.93
Heavy-Abusive (Worst Case),Abstract Cubes,15,77.59,111.93
Heavy-Abusive (Worst Case),Abstract Cubes,16,59.79,93.53
Heavy-Abusive (Worst Case),Abstract Cubes,15,78.33,105.47
Heavy-Abusive (Worst Case),Abstract Cubes,16,59.79,102.40
Heavy-Abusive (Worst Case),Abstract Cubes,15,74.41,117.80
Heavy-Abusive (Worst Case),Abstract Cubes,15,61.15,83.04
Heavy-Abusive (Worst Case),Abstract Cubes,15,75.07,119.19
Heavy-Abusive (Worst Case),Abstract Cubes,15,71.90,113.85
Heavy-Abusive (Worst Case),Abstract Cubes,14,92.43,128.96
Heavy-Abusive (Worst Case),Abstract Cubes,14,77.70,107.65
Heavy-Abusive (Worst Case),Abstract Cubes,16,60.06,74.31
Heavy-Abusive (Worst Case),Abstract Cubes,14,79.36,124.78
Heavy-Abusive (Worst Case),Abstract Cubes,15,89.77,125.86
Heavy-Abusive (Worst Case),Abstract Cubes,15,66.62,95.50
Heavy-Abusive (Worst Case),Abstract Cubes,15,86.50,122.54
Heavy-Abusive (Worst Case),Abstract Cubes,15,79.68,121.32
Heavy-Abusive (Worst Case),Abstract Cubes,14,73.78,100.84
Heavy-Abusive (Worst Case),Abstract Cubes,15,70.38,107.99
Heavy-Abusive (Worst Case),Abstract Cubes,14,60.24,105.48
Heavy-Abusive (Worst Case),Abstract Cubes,16,68.48,117.09
Heavy-Abusive (Worst Case),Abstract Cubes,14,59.79,93.12
Heavy-Abusive (Worst Case),Abstract Cubes,15,59.79,97.16
Heavy-Abusive (Worst Case),Abstract Cubes,15,73.05,119.32
Heavy-Abusive (Worst Case),Abstract Cubes,16,77.04,113.57
Heavy-Abusive (Worst Case),Abstract Cubes,15,60.13,107.86
Heavy-Abusive (Worst Case),Abstract Cubes,14,64.51,97.66
Heavy-Abusive (Worst Case),Abstract Cubes,14,59.79,93.26
Heavy-Abusive (Worst Case),Abstract Cubes,16,64.81,100.46
Heavy-Abusive (Worst Case),Abstract Cubes,15,80.25,120.45
Heavy-Abusive (Worst Case),Abstract Cubes,14,84.18,124.62
Heavy-Abusive (Worst Case),Abstract Cubes,15,65.95,94.74
Heavy-Abusive (Worst Case),Abstract Cubes,14,63.19,93.16
Heavy-Abusive (Worst Case),Abstract Cubes,14,83.88,118.65
Heavy-Abusive (Worst Case),Abstract Cubes,15,63.67,104.82
Heavy-Abusive (Worst Case),Abstract Cubes,15,69.47,109.30
Heavy-Abusive (Worst Case),Abstract Cubes,15,70.45,87.18
Heavy-Abusive (Worst Case),Abstract Cubes,15,82.70,131.26
Heavy-Abusive (Worst Case),Abstract Cubes,16,59.79,95.40
Heavy-Abusive (Worst Case),Abstract Cubes,15,89.88,116.99
Heavy-Abusive (Worst Case),Abstract Cubes,14,67.36,100.92
Heavy-Abusive (Worst Case),Abstract Cubes,14,59.79,89.41
Heavy-Abusive (Worst Case),Abstract Cubes,14,86.99,120.81
Heavy-Abusive (Worst Case),Abstract Cubes,16,75.66,113.16
Heavy-Abusive (Worst Case),Abstract Cubes,15,59.79,95.05
Heavy-Abusive (Worst Case),Abstract Cubes,16,87.27,117.42
Heavy-Abusive (Worst Case),Abstract Cubes,15,68.36,98.01
Heavy-Abusive (Worst Case),Abstract Cubes,14,77.86,107.97
Heavy-Abusive (Worst Case),Abstract Cubes,15,65.48,100.11
Heavy-Abusive (Worst Case),Abstract Cubes,16,59.79,96.37
Heavy-Abusive (Worst Case),Abstract Cubes,16,92.07,132.58
Heavy-Abusive (Worst Case),Abstract Cubes,16,83.77,107.35
Heavy-Abusive (Worst Case),Abstract Cubes,14,79.67,93.93
Heavy-Abusive (Worst Case),Abstract Cubes,15,71.37,103.85
Heavy-Abusive (Worst Case),Abstract Cubes,14,59.79,90.12
Heavy-Abusive (Worst Case),Abstract Cubes,14,72.50,110.41
Heavy-Abusive (Worst Case),Abstract Cubes,14,59.79,98.25
Heavy-Abusive (Worst Case),Abstract Cubes,16,59.79,87.22
Heavy-Abusive (Worst Case),Abstract Cubes,16,59.79,94.82
Heavy-Abusive (Worst Case),Abstract Cubes,15,89.53,109.52
Heavy-Abusive (Worst Case),Abstract Cubes,16,69.91,108.68
Heavy-Abusive (Worst Case),Abstract Cubes,14,71.88,101.89
Heavy-Abusive (Worst Case),Abstract Cubes,15,73.51,104.51
Heavy-Abusive (Worst Case),Abstract Cubes,15,63.37,87.02
Heavy-Abusive (Worst Case),Abstract Cubes,16,59.79,89.78
Heavy-Abusive (Worst Case),Abstract Cubes,16,70.55,111.86
Heavy-Abusive (Worst Case),Abstract Cubes,16,59.79,85.34
Heavy-Abusive (Worst Case),Abstract Cubes,16,59.79,100.79
Heavy-Abusive (Worst Case),Abstract Cubes,15,67.11,104.94
Heavy-Abusive (Worst Case),Abstract Cubes,16,59.79,97.46
Heavy-Abusive (Worst Case),Abstract Cubes,16,69.92,113.00
Heavy-Abusive (Worst Case),Abstract Cubes,15,59.79,93.86
Heavy-Abusive (Worst Case),Abstract Cubes,14,86.64,120.79
Heavy-Abusive (Worst Case),Abstract Cubes,15,66.45,99.44
Heavy-Abusive (Worst Case),Abstract Cubes,15,72.41,91.39
Heavy-Abusive (Worst Case),Abstract Cubes,16,70.00,90.08
Heavy-Abusive (Worst Case),Abstract Cubes,15,82.33,110.96
Heavy-Abusive (Worst Case),Abstract Cubes,15,83.96,125.14
Heavy-Abusive (Worst Case),Abstract Cubes,16,90.24,121.10
Heavy-Abusive (Worst Case),Abstract Cubes,15,79.69,120.12
Heavy-Abusive (Worst Case),Abstract Cubes,15,59.79,93.64
Heavy-Abusive (Worst Case),Abstract Cubes,14,75.41,99.35
Heavy-Abusive (Worst Case),Abstract Cubes,15,69.47,102.48
Heavy-Abusive (Worst Case),Abstract Cubes,16,85.76,120.98
Heavy-Abusive (Worst Case),Abstract Cubes,15,59.79,81.73
Heavy-Abusive (Worst Case),Abstract Cubes,16,64.87,109.70
Heavy-Abusive (Worst Case),Abstract Cubes,14,73.75,107.19
Heavy-Abusive (Worst Case),Abstract Cubes,15,72.19,99.04
Heavy-Abusive (Worst Case),Abstract Cubes,15,59.79,95.96
Heavy-Abusive (Worst Case),Abstract Cubes,14,59.79,84.63
Heavy-Abusive (Worst Case),Abstract Cubes,14,71.69,111.90
Heavy-Abusive (Worst Case),Abstract Cubes,14,59.79,75.06
Heavy-Abusive (Worst Case),Abstract Cubes,15,71.30,102.77
Heavy-Abusive (Worst Case),Abstract Cubes,15,59.79,85.08
Heavy-Abusive (Worst Case),Abstract Cubes,15,71.00,108.62
Heavy-Abusive (Worst Case),Abstract Cubes,15,72.84,109.64
Heavy-Abusive (Worst Case),Abstract Cubes,15,82.82,117.35
Heavy-Abusive (Worst Case),Abstract Cubes,14,89.10,123.17
Heavy-Abusive (Worst Case),Abstract Cubes,16,93.26,127.83
Heavy-Abusive (Worst Case),Abstract Cubes,16,81.52,116.42
Heavy-Abusive (Worst Case),Abstract Cubes,14,59.79,94.79
Heavy-Abusive (Worst Case),Abstract Cubes,16,78.40,100.26
Heavy-Abusive (Worst Case),Abstract Cubes,16,59.84,86.15
Heavy-Abusive (Worst Case),Abstract Cubes,14,59.79,91.44
Heavy-Abusive (Worst Case),Abstract Cubes,14,59.79,90.36
Heavy-Abusive (Worst Case),Abstract Cubes,16,86.44,117.85
Heavy-Abusive (Worst Case),Abstract Cubes,15,82.29,118.77
Heavy-Abusive (Worst Case),Abstract Cubes,15,61.73,79.74
Heavy-Abusive (Worst Case),Abstract Cubes,16,62.65,90.63
Heavy-Abusive (Worst Case),Abstract Cubes,15,79.25,118.94
Heavy-Abusive (Worst Case),Abstract Cubes,15,59.79,103.15
Heavy-Abusive (Worst Case),Abstract Cubes,15,59.79,93.26
Heavy-Abusive (Worst Case),Abstract Cubes,15,62.67,84.36
Heavy-Abusive (Worst Case),Abstract Cubes,16,59.79,91.88
Heavy-Abusive (Worst Case),Abstract Cubes,15,69.65,103.55
Heavy-Abusive (Worst Case),Abstract Cubes,15,72.79,99.17
Heavy-Abusive (Worst Case),Abstract Cubes,16,80.93,115.02
Heavy-Abusive (Worst Case),Abstract Cubes,16,97.83,126.23
Heavy-Abusive (Worst Case),Abstract Cubes,14,59.79,96.95
Heavy-Abusive (Worst Case),Abstract Cubes,14,72.74,106.36
Heavy-Abusive (Worst Case),Abstract Cubes,14,59.79,87.55
Heavy-Abusive (Worst Case),Abstract Cubes,15,61.68,88.05
Heavy-Abusive (Worst Case),Abstract Cubes,14,68.24,98.95
Heavy-Abusive (Worst Case),Abstract Cubes,14,59.79,79.53
Heavy-Abusive (Worst Case),Abstract Cubes,14,70.34,101.41
Heavy-Abusive (Worst Case),Abstract Cubes,14,78.22,114.85
Heavy-Abusive (Worst Case),Abstract Cubes,16,69.75,109.48
Heavy-Abusive (Worst Case),Abstract Cubes,14,71.95,103.46
Heavy-Abusive (Worst Case),Abstract Cubes,15,75.41,115.58
Heavy-Abusive (Worst Case),Abstract Cubes,15,59.79,84.01
Heavy-Abusive (Worst Case),Abstract Cubes,16,72.71,106.09
Heavy-Abusive (Worst Case),Abstract Cubes,14,59.79,111.86
Heavy-Abusive (Worst Case),Abstract Cubes,14,59.79,84.41
Heavy-Abusive (Worst Case),Abstract Cubes,15,70.11,104.72
Heavy-Abusive (Worst Case),Abstract Cubes,15,75.73,104.53
Heavy-Abusive (Worst Case),Abstract Cubes,14,60.01,84.12
Heavy-Abusive (Worst Case),Abstract Cubes,15,80.64,118.61
Heavy-Abusive (Worst Case),Abstract Cubes,16,100.72,133.44
Heavy-Abusive (Worst Case),Abstract Cubes,15,59.79,92.01
Heavy-Abusive (Worst Case),Abstract Cubes,14,72.20,97.96
Heavy-Abusive (Worst Case),Abstract Cubes,16,64.82,91.63
Heavy-Abusive (Worst Case),Abstract Cubes,16,75.37,111.51
Heavy-Abusive (Worst Case),Abstract Cubes,16,59.79,79.90
Heavy-Abusive (Worst Case),Abstract Cubes,14,71.46,110.44
Heavy-Abusive (Worst Case),Abstract Cubes,14,82.80,92.22
Heavy-Abusive (Worst Case),Abstract Cubes,15,81.42,107.42
Heavy-Abusive (Worst Case),Abstract Cubes,14,67.05,83.41
Heavy-Abusive (Worst Case),Abstract Cubes,15,63.69,96.00
Heavy-Abusive (Worst Case),Abstract Cubes,15,75.87,118.39
Heavy-Abusive (Worst Case),Abstract Cubes,16,59.79,97.14
Heavy-Abusive (Worst Case),Abstract Cubes,15,89.19,117.57
Heavy-Abusive (Worst Case),Abstract Cubes,15,59.79,96.75
Heavy-Abusive (Worst Case),Abstract Cubes,15,77.30,116.05
Heavy-Abusive (Worst Case),Abstract Cubes,14,72.63,99.53
Heavy-Abusive (Worst Case),Abstract Cubes,14,62.36,100.88
Heavy-Abusive (Worst Case),Abstract Cubes,15,78.93,120.99
Heavy-Abusive (Worst Case),Abstract Cubes,15,74.85,104.52
Heavy-Abusive (Worst Case),Abstract Cubes,15,72.88,104.42
Heavy-Abusive (Worst Case),Abstract Cubes,16,70.76,107.90
Heavy-Abusive (Worst Case),Abstract Cubes,15,59.79,88.14
Heavy-Abusive (Worst Case),Abstract Cubes,15,59.79,94.75
Heavy-Abusive (Worst Case),Abstract Cubes,16,59.79,91.48
Heavy-Abusive (Worst Case),Abstract Cubes,16,66.30,110.89
Heavy-Abusive (Worst Case),Abstract Cubes,14,82.94,111.24
Heavy-Abusive (Worst Case),Abstract Cubes,16,59.79,83.85
Heavy-Abusive (Worst Case),Abstract Cubes,14,66.54,104.79
Heavy-Abusive (Worst Case),Abstract Cubes,14,59.79,83.44
Heavy-Abusive (Worst Case),Abstract Cubes,16,86.96,121.30
Heavy-Abusive (Worst Case),Abstract Cubes,15,82.18,113.58
Heavy-Abusive (Worst Case),Abstract Cubes,15,77.78,113.80
Heavy-Abusive (Worst Case),Abstract Cubes,15,66.90,103.82
Heavy-Abusive (Worst Case),Abstract Cubes,15,59.79,103.61
Heavy-Abusive (Worst Case),Abstract Cubes,14,59.79,92.78
Heavy-Abusive (Worst Case),Abstract Cubes,14,59.79,98.72
Heavy-Abusive (Worst Case),Abstract Cubes,16,61.90,77.16
Heavy-Abusive (Worst Case),Abstract Cubes,14,59.79,83.93
Heavy-Abusive (Worst Case),Abstract Cubes,14,59.79,92.97
Heavy-Abusive (Worst Case),Abstract Cubes,14,59.79,90.33
Heavy-Abusive (Worst Case),Abstract Cubes,16,68.09,105.32
Heavy-Abusive (Worst Case),Abstract Cubes,16,62.07,100.49
Heavy-Abusive (Worst Case),Abstract Cubes,16,59.79,99.13
Heavy-Abusive (Worst Case),Abstract Cubes,14,59.79,114.68
Heavy-Abusive (Worst Case),Abstract Cubes,14,59.79,88.85
Heavy-Abusive (Worst Case),Abstract Cubes,14,85.90,108.31
Heavy-Abusive (Worst Case),Abstract Cubes,14,72.16,109.10
Heavy-Abusive (Worst Case),Abstract Cubes,15,90.18,108.31
Heavy-Abusive (Worst Case),Abstract Cubes,15,70.60,102.02
Heavy-Abusive (Worst Case),Abstract Cubes,14,61.74,105.30
Heavy-Abusive (Worst Case),Abstract Cubes,16,75.80,119.17
Heavy-Abusive (Worst Case),Abstract Cubes,15,61.80,98.92
Heavy-Abusive (Worst Case),Abstract Cubes,14,59.79,91.08
Heavy-Abusive (Worst Case),Abstract Cubes,15,64.65,105.32
Heavy-Abusive (Worst Case),Abstract Cubes,14,59.79,105.13
Heavy-Abusive (Worst Case),Abstract Cubes,15,59.96,101.65
Heavy-Abusive (Worst Case),Abstract Cubes,15,65.87,109.76
Heavy-Abusive (Worst Case),Abstract Cubes,14,82.88,123.81
Heavy-Abusive (Worst Case),Abstract Cubes,14,64.32,97.92
Heavy-Abusive (Worst Case),Abstract Cubes,16,63.68,97.49
Heavy-Abusive (Worst Case),Abstract Cubes,16,66.21,84.55
Heavy-Abusive (Worst Case),Abstract Cubes,16,90.15,118.79
Heavy-Abusive (Worst Case),Abstract Cubes,15,68.18,100.10
Heavy-Abusive (Worst Case),Abstract Cubes,14,97.35,123.29
Heavy-Abusive (Worst Case),Abstract Cubes,16,70.99,112.43
Heavy-Abusive (Worst Case),Abstract Cubes,15,67.19,98.12
Heavy-Abusive (Worst Case),Abstract Cubes,14,59.79,85.76
Heavy-Abusive (Worst Case),Abstract Cubes,14,59.79,87.73
Heavy-Abusive (Worst Case),Abstract Cubes,15,59.79,86.68
Heavy-Abusive (Worst Case),Abstract Cubes,16,59.79,90.32
Heavy-Abusive (Worst Case),Abstract Cubes,16,70.18,98.95
Heavy-Abusive (Worst Case),Abstract Cubes,15,89.37,108.79
Heavy-Abusive (Worst Case),Abstract Cubes,14,91.70,124.17
Heavy-Abusive (Worst Case),Abstract Cubes,14,59.79,81.57
Heavy-Abusive (Worst Case),Abstract Cubes,16,75.03,110.79
Heavy-Abusive (Worst Case),Abstract Cubes,15,79.22,122.71
Heavy-Abusive (Worst Case),Abstract Cubes,15,84.75,127.72
Heavy-Abusive (Worst Case),Abstract Cubes,16,62.78,96.83
Heavy-Abusive (Worst Case),Abstract Cubes,15,59.79,87.99
Heavy-Abusive (Worst Case),Abstract Cubes,14,59.79,83.89
Heavy-Abusive (Worst Case),Abstract Cubes,16,92.79,131.12
Heavy-Abusive (Worst Case),Abstract Cubes,16,66.32,102.71
Heavy-Abusive (Worst Case),Abstract Cubes,16,80.69,133.45
Heavy-Abusive (Worst Case),Abstract Cubes,14,83.51,119.82
Heavy-Abusive (Worst Case),Abstract Cubes,15,83.82,100.35
